time gssi_420mhz
2.1624266145e-08 -7.61589069e-08
2.1722113503e-08 -7.06517970e-08
2.1819960861e-08 -6.55429105e-08
2.1917808219e-08 -6.08034516e-08
2.2015655577e-08 -5.64067066e-08
2.2113502935e-08 -5.23278937e-08
2.2211350294e-08 -4.85440229e-08
2.2309197652e-08 -4.50337668e-08
2.2407045010e-08 -4.17773400e-08
2.2504892368e-08 -3.87563880e-08
2.2602739726e-08 -3.59538834e-08
2.2700587084e-08 -3.33540300e-08
2.2798434442e-08 -3.09421741e-08
2.2896281800e-08 -2.87047214e-08
2.2994129159e-08 -2.66290606e-08
2.3091976517e-08 -2.47034925e-08
2.3189823875e-08 -2.29171637e-08
2.3287671233e-08 -2.12600057e-08
2.3385518591e-08 -1.97226781e-08
2.3483365949e-08 -1.82965159e-08
2.3581213307e-08 -1.69734805e-08
2.3679060665e-08 -1.57461149e-08
2.3776908023e-08 -1.46075010e-08
2.3874755382e-08 -1.35512213e-08
2.3972602740e-08 -1.25713219e-08
2.4070450098e-08 -1.16622798e-08
2.4168297456e-08 -1.08189713e-08
2.4266144814e-08 -1.00366430e-08
2.4363992172e-08 -9.31088554e-09
2.4461839530e-08 -8.63760816e-09
2.4559686888e-08 -8.01301598e-09
2.4657534247e-08 -7.43358859e-09
2.4755381605e-08 -6.89606003e-09
2.4853228963e-08 -6.39740056e-09
2.4951076321e-08 -5.93479953e-09
2.5048923679e-08 -5.50564952e-09
2.5146771037e-08 -5.10753170e-09
2.5244618395e-08 -4.73820213e-09
2.5342465753e-08 -4.39557901e-09
2.5440313112e-08 -4.07773127e-09
2.5538160470e-08 -3.78286734e-09
2.5636007828e-08 -3.50932521e-09
2.5733855186e-08 -3.25556316e-09
2.5831702544e-08 -3.02015085e-09
2.5929549902e-08 -2.80176137e-09
2.6027397260e-08 -2.59916385e-09
2.6125244618e-08 -2.41121628e-09
2.6223091977e-08 -2.23685936e-09
2.6320939335e-08 -2.07511029e-09
2.6418786693e-08 -1.92505746e-09
2.6516634051e-08 -1.78585507e-09
2.6614481409e-08 -1.65671848e-09
2.6712328767e-08 -1.53691988e-09
2.6810176125e-08 -1.42578401e-09
2.6908023483e-08 -1.32268446e-09
2.7005870841e-08 -1.22704012e-09
2.7103718200e-08 -1.13831188e-09
2.7201565558e-08 -1.05599964e-09
2.7299412916e-08 -9.79639465e-10
2.7397260274e-08 -9.08800970e-10
2.7495107632e-08 -8.43084871e-10
2.7592954990e-08 -7.82120794e-10
2.7690802348e-08 -7.25565033e-10
2.7788649706e-08 -6.73098883e-10
2.7886497065e-08 -6.24426554e-10
2.7984344423e-08 -5.79273798e-10
2.8082191781e-08 -5.37386072e-10
2.8180039139e-08 -4.98527285e-10
2.8277886497e-08 -4.62478395e-10
2.8375733855e-08 -4.29036221e-10
2.8473581213e-08 -3.98012278e-10
2.8571428571e-08 -3.69231716e-10
2.8669275930e-08 -3.42532274e-10
2.8767123288e-08 -3.17763520e-10
2.8864970646e-08 -2.94785766e-10
2.8962818004e-08 -2.73469601e-10
2.9060665362e-08 -2.53694803e-10
2.9158512720e-08 -2.35349939e-10
2.9256360078e-08 -2.18331578e-10
2.9354207436e-08 -2.02543853e-10
2.9452054795e-08 -1.87897783e-10
2.9549902153e-08 -1.74310750e-10
2.9647749511e-08 -1.61706210e-10
2.9745596869e-08 -1.50013106e-10
2.9843444227e-08 -1.39165507e-10
2.9941291585e-08 -1.29102335e-10
3.0039138943e-08 -1.19766844e-10
3.0136986301e-08 -1.11106451e-10
3.0234833659e-08 -1.03072267e-10
3.0332681018e-08 -9.56190301e-11
3.0430528376e-08 -8.87047655e-11
3.0528375734e-08 -8.22904389e-11
3.0626223092e-08 -7.63399319e-11
3.0724070450e-08 -7.08197297e-11
3.0821917808e-08 -6.56987045e-11
3.0919765166e-08 -6.09479673e-11
3.1017612524e-08 -5.65407791e-11
3.1115459883e-08 -5.24522777e-11
3.1213307241e-08 -4.86594056e-11
3.1311154599e-08 -4.51407930e-11
3.1409001957e-08 -4.18766259e-11
3.1506849315e-08 -3.88484819e-11
3.1604696673e-08 -3.60393583e-11
3.1702544031e-08 -3.34333116e-11
3.1800391389e-08 -3.10157306e-11
3.1898238748e-08 -2.87729756e-11
3.1996086106e-08 -2.66923778e-11
3.2093933464e-08 -2.47622377e-11
3.2191780822e-08 -2.29716379e-11
3.2289628180e-08 -2.13105666e-11
3.2387475538e-08 -1.97695756e-11
3.2485322896e-08 -1.83400411e-11
3.2583170254e-08 -1.70138526e-11
3.2681017613e-08 -1.57835990e-11
3.2778864971e-08 -1.46422449e-11
3.2876712329e-08 -1.35834796e-11
3.2974559687e-08 -1.26012598e-11
3.3072407045e-08 -1.16900206e-11
3.3170254403e-08 -1.08447071e-11
3.3268101761e-08 -1.00605102e-11
3.3365949119e-08 -9.33302721e-12
3.3463796477e-08 -8.65820329e-12
3.3561643836e-08 -8.03211340e-12
3.3659491194e-08 -7.45128793e-12
3.3757338552e-08 -6.91245339e-12
3.3855185910e-08 -6.41261410e-12
3.3953033268e-08 -5.94890168e-12
3.4050880626e-08 -5.51873665e-12
3.4148727984e-08 -5.11966673e-12
3.4246575342e-08 -4.74944261e-12
3.4344422701e-08 -4.40600249e-12
